 RespId,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q27_6,Q27_7,Q27_8,Q27_9,Q27_10
470001,,,,,,,,,,
470002,,,,,,,,,,
470003,,,,,,,,,,
470007,,,,,,,,,,
480008,,,,,,,,,,
480009,,,,,,,,,Agree,
480010,,,,,,,,,,
470008,,,,,,,,,,
470010,,,,,,,,,,
470011,,,,,,,,,,
470013,,,,,,,,,,
470016,,,,,,,,,,
480020,,Agree,,,,,,,,
470017,,,,,,,,,,
470018,,,,,,,,,,
470019,,,,,,,,,,
470022,,,,,,,,,,
470025,,,,,,,,,,
470027,,,,,,,,,,
470028,,,,,,,,,,
470029,,,Agree,Agree,,,,,,
470030,,,,,,,,,,
470031,,,,,,,,,,
470033,,,,,,,,,,
470034,,,,,,,,,,
470035,,,,,,,,,,
470036,,,Agree,Agree,,,,,,
470037,,,,,,,,,,
470038,,,,,,,,,,
470039,,,,,,,,,,
470040,,,,,,,,,,
470042,,,,,,,,,,
470043,Agree,,,,,,,,,
470044,,,,,,,,,,
470045,,,,,,,,,,
470046,,,,,,,,,,
480053,,,,,,,,,,
470049,Agree,,,,,,,,,
470050,,,,,,,,,,
480056,,,,,,,,,,
470051,,,,,,,,,Agree,
470052,,,,,,,,,,
470053,,,,,,,,,,
470056,,,,,,,,,,
470057,,,,,,,,,,
470058,,,,,,,,,,
470059,,,,,,,,,,
470061,,,,,,,,,,
470062,,,,,,,,,,
470064,,,,,,,,,,
470065,,,,,,,,,,
470067,,,,,,,,,,
470068,,,,,,,,,,
470070,,,,,,,,,,
470071,,,,,,,,,,
470072,,,,,,,,,,
470073,,,,,,,,,,
470074,,,,,,,,,,
480081,,,,,,,,,,
470075,,,,,,,,,,
470077,,,,,,,,,,
470079,,,,,,,,,,
470080,,,,,,,,,,
470082,,,,,,,,,,
470087,,,,,,,,,,
470088,,,,,,,,,,
470089,Agree,,Agree,Agree,,,,,,
470090,,,Agree,,,,,,,Agree
470092,,Agree,,,Agree,,,,,
470094,,,,,,,,,,
470096,,,,,,,,,,
470097,,,,,,,,,,
470098,,,,,,,,,,
470100,,,,,,,,,,
470101,,,Agree,,,,,,,Agree
470102,,,,,Agree,,,,,
470103,,,,,,,,,,
470104,,,,,,,,,,
470106,,,,,,,,,,
470107,,Agree,,,,,,,,
470108,,,,,,,,,,
470109,,,,,,,,,,
470111,,,,,,,,,,
470112,,,,,,,,,,
470113,,,,,,,,,,
470115,,,,,,,,,,
470116,,,,,,,,,,
470117,,,,,,,,,,
470118,,,,,,,,,,
470119,,,,,,,,,,
480127,,,,,,,,,,
470120,,,,,,,,,,
470121,,,,,,,,,,
470122,,,,,,,,,,
470125,,,,,,,,,,
470126,,,,,,,,,,
470127,Agree,,,,,,,,,
470128,,,,,,,,,,
470131,,,,,,,,,Agree,
470133,,,,,,,,,,
470134,Agree,,Agree,,,,Agree,,,
470135,,,,,,,,,,
470137,Agree,Agree,,Agree,,,,,,
470138,,,,,,,,,,
470139,,,,,,,,,,
470140,,,,,,,,,,
470141,,,,,,,,,,
470142,,,,,,,,,,
480152,Agree,,,,,,,,,
