 RespId,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6
470001,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree
470002,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree
470003,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree
470007,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree
480008,Strongly disagree,,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree
480009,Strongly agree,Somewhat agree,,Somewhat agree,Somewhat agree,Somewhat agree
480010,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree
470008,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree
470010,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree
470011,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree
470013,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree
470016,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree
480020,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
470017,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree
470018,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree
470019,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree
470022,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree
470025,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree
470027,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree
470028,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree
470029,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree
470030,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree
470031,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree
470033,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree
470034,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
470035,Strongly agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree
470036,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree
470037,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree
470038,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree
470039,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree
470040,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree
470042,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree
470043,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
470044,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree
470045,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree
470046,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly agree
480053,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree
470049,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree
470050,Strongly agree,Somewhat agree,,Somewhat agree,Somewhat agree,Somewhat agree
480056,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree
470051,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree
470052,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree
470053,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly agree
470056,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree
470057,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree
470058,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree
470059,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree
