 RespId,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q17_10
470001,,,More outreach,More outreach,More outreach,More outreach,More outreach,,,
470002,,More outreach,,,,,,,,
470003,,More outreach,,More outreach,,,,More outreach,More outreach,
470007,,,More outreach,,,,,More outreach,,More outreach
480008,,,,,,,,,,
480009,,,,,,,,,,
480010,More outreach,,,,,,,,,
470008,,More outreach,,More outreach,More outreach,,More outreach,,More outreach,
470010,More outreach,More outreach,More outreach,More outreach,More outreach,More outreach,More outreach,More outreach,More outreach,
470011,More outreach,,,,More outreach,More outreach,,,,
470013,More outreach,More outreach,More outreach,More outreach,More outreach,More outreach,More outreach,More outreach,More outreach,
470016,,,More outreach,More outreach,More outreach,More outreach,More outreach,,,
480020,,,More outreach,,,,More outreach,More outreach,More outreach,
470017,,,,,,,,,,More outreach
470018,More outreach,More outreach,More outreach,,,More outreach,,,,
470019,,More outreach,,,,,,,,
470022,More outreach,More outreach,More outreach,More outreach,More outreach,More outreach,More outreach,More outreach,,
470025,More outreach,,,,,,,,,
470027,More outreach,More outreach,,,,More outreach,,More outreach,,
470028,,,,,,More outreach,,More outreach,,
470029,More outreach,,,More outreach,,,,,More outreach,
470030,,More outreach,,,,More outreach,,,,
470031,More outreach,More outreach,More outreach,,,,,,More outreach,
470033,More outreach,More outreach,,,,More outreach,,,More outreach,
470034,,,,,,More outreach,,,,
470035,,More outreach,More outreach,More outreach,,More outreach,More outreach,,,
470036,More outreach,More outreach,More outreach,More outreach,More outreach,More outreach,More outreach,More outreach,More outreach,
470037,,More outreach,More outreach,,,More outreach,,,More outreach,
470038,,More outreach,More outreach,,,,,,,
470039,,More outreach,More outreach,,,,,,,
470040,More outreach,,More outreach,More outreach,,More outreach,,,,
470042,More outreach,More outreach,,,,More outreach,,,,
470043,,,,More outreach,,More outreach,More outreach,,,
470044,,More outreach,More outreach,,,,,,More outreach,
470045,,More outreach,,,,,,,,
470046,More outreach,More outreach,More outreach,More outreach,,More outreach,More outreach,,,
480053,,,,,More outreach,,More outreach,More outreach,,
470049,,,,,,,,,,More outreach
470050,More outreach,,,,,More outreach,,,,
480056,,,,,,,More outreach,,,
470051,,,,,,,,More outreach,,
470052,,More outreach,More outreach,,More outreach,More outreach,More outreach,,,
470053,,,,,More outreach,More outreach,More outreach,More outreach,,
470056,More outreach,,More outreach,More outreach,More outreach,More outreach,More outreach,More outreach,,
470057,,,More outreach,,,More outreach,,,More outreach,
470058,,,,,More outreach,More outreach,,,,
470059,,,,,,,More outreach,,,
470061,,,,,More outreach,,,,,
470062,,,,,,More outreach,More outreach,More outreach,More outreach,
470064,More outreach,,,More outreach,More outreach,More outreach,More outreach,More outreach,,
470065,More outreach,More outreach,,,,,,,More outreach,
470067,More outreach,More outreach,,,,,,,More outreach,
470068,,,More outreach,More outreach,More outreach,,More outreach,,More outreach,
