 RespId,Q9_1,Q9_2,Q9_3,Q9_4
470001,Fairly good,Fairly good,Very bad,Very bad
470002,Very good,Very good,Fairly bad,Very bad
470003,Very good,Fairly good,Very bad,Very bad
470007,Very good,Fairly good,Very bad,Very bad
480008,Very good,Very bad,Fairly bad,Very bad
480009,,,,Very bad
480010,Very good,Fairly good,Fairly good,Fairly bad
470008,Very good,Fairly good,Fairly bad,Very bad
470010,Very good,Very bad,Very bad,Very bad
470011,Fairly good,Fairly good,Fairly bad,Fairly bad
470013,Very good,Fairly good,Fairly bad,Very bad
470016,Fairly good,Fairly good,Very bad,Very bad
480020,Fairly good,Fairly bad,Fairly good,Very bad
470017,Fairly bad,Fairly bad,Fairly bad,Fairly bad
470018,Very good,Very bad,Fairly bad,Very bad
470019,Very good,Very bad,Fairly bad,Very bad
470022,Very good,Very bad,Very bad,Very bad
470025,Very good,Very bad,Very bad,Very bad
470027,Very good,Very bad,Very bad,Very bad
470028,Very good,Very bad,Very bad,Very bad
470029,Fairly good,Fairly good,Fairly good,Fairly bad
470030,Very good,Fairly good,Fairly good,Very bad
470031,Very good,Very bad,Very bad,Very bad
470033,Very good,Very bad,Fairly good,Fairly bad
470034,Very good,Very bad,Very bad,Very bad
470035,Fairly good,Fairly good,Very bad,Fairly bad
470036,Fairly good,Fairly good,Very bad,Very bad
470037,Very good,Fairly bad,Very bad,Very bad
470038,Very good,Fairly bad,Very bad,Very bad
470039,Very good,Very bad,Very bad,Very bad
470040,Fairly good,Fairly good,Very bad,Very bad
470042,Very good,Fairly good,Very bad,Very bad
470043,Very good,Fairly bad,Fairly good,Fairly bad
470044,Fairly good,Very bad,Fairly bad,Very bad
470045,Very good,Fairly good,Very bad,Very bad
470046,Very good,Fairly bad,Very bad,Very bad
480053,Very good,Very good,Very good,Fairly good
470049,Very good,Fairly good,Very bad,Fairly bad
470050,Very good,Fairly bad,Very bad,
480056,Very good,Fairly bad,Very bad,Very bad
470051,Fairly bad,Very bad,Fairly bad,Fairly bad
470052,Fairly good,Fairly good,Very bad,Very bad
470053,Very good,Fairly bad,Fairly bad,Very bad
