 RespId,Q10_1,Q10_2,Q10_3,Q10_4
470367,No,No,No,No
470370,,,,No
470371,No,No,No,No
470372,No,No,No,No
470373,No,No,No,No
470374,No,No,No,No
470375,No,No,No,No
470376,No,No,No,No
470377,No,No,Yes,No
470379,,,,
470382,No,Yes,No,No
470383,No,No,No,No
470384,No,No,No,No
470385,No,No,No,No
470387,Yes,Yes,Yes,No
470389,Yes,Yes,No,No
470391,No,No,Yes,No
470392,No,Yes,No,No
470393,No,No,No,No
470394,No,No,No,No
470395,No,Yes,No,No
470396,No,Yes,No,No
470397,Yes,Yes,Yes,No
470399,No,No,No,No
470403,No,Yes,No,No
480432,No,No,Yes,No
470405,No,No,No,No
470407,No,No,No,No
470408,No,No,No,No
470409,No,No,No,No
470411,No,No,No,No
470412,No,No,No,No
470414,No,No,No,No
470415,No,No,No,No
470416,No,No,No,No
470417,No,Yes,No,No
470419,No,No,No,No
470420,No,No,No,No
470421,No,Yes,Yes,No
470422,No,No,Yes,No
470423,No,No,No,No
470424,No,No,No,No
470425,No,Yes,No,No
480454,No,No,No,No
470426,Yes,No,Yes,No
470427,No,No,No,No
470428,No,No,No,No
470429,No,No,No,No
470430,No,No,Yes,No
470431,No,No,No,No
470433,No,No,No,No
470434,No,Yes,No,No
470436,No,No,No,No
470437,No,Yes,No,No
470439,No,No,No,No
470440,No,Yes,No,No
470442,Yes,Yes,No,No
470444,No,No,Yes,No
470445,No,No,No,No
470446,Yes,Yes,Yes,No
470448,No,No,No,No
480478,No,No,Yes,No
470449,No,No,No,No
470450,No,No,Yes,No
470451,No,Yes,No,No
470452,No,No,No,No
470455,No,No,No,No
470457,No,No,No,No
470458,No,No,Yes,No
470459,Yes,No,No,No
470460,,No,No,No
480491,No,No,Yes,No
470461,No,Yes,No,No
470466,No,No,No,No
470468,No,No,No,No
470469,No,No,No,No
470470,No,No,No,No
470471,No,No,No,No
470472,No,No,No,No
470474,No,No,No,No
470476,Yes,Yes,Yes,No
470477,No,No,No,No
470478,No,Yes,No,No
470480,No,No,Yes,No
470481,No,No,No,No
470482,No,Yes,No,No
470483,No,No,Yes,No
470484,No,No,No,No
470485,No,Yes,No,No
470487,No,No,No,No
470488,No,No,Yes,No
480520,No,Yes,Yes,No
470489,No,No,No,No
470490,No,No,No,No
470491,No,No,No,No
470492,No,No,Yes,No
470495,No,No,No,No
470496,No,No,No,No
470497,No,Yes,Yes,No
470498,No,No,No,No
470499,No,No,No,No
480532,No,No,No,No
470501,No,No,No,No
470502,No,No,No,No
470503,No,No,No,No
470504,No,Yes,No,No
470505,No,No,No,No
470506,No,No,No,No
480540,No,No,No,No
470507,No,Yes,No,No
470508,No,No,Yes,No
470513,No,No,No,No
470514,No,No,No,No
470515,No,No,No,No
470517,No,Yes,Yes,No
470518,No,No,No,No
470519,Yes,No,No,No
470520,No,Yes,No,No
470521,No,No,No,No
470523,No,No,No,No
470524,No,No,No,No
470525,No,No,No,No
470526,No,No,No,No
470527,No,No,No,No
470528,No,No,No,No
470529,No,No,No,No
470530,No,No,No,No
470531,Yes,Yes,No,No
470532,No,No,No,No
470535,No,No,No,No
470536,No,Yes,No,No
470540,No,No,Yes,No
470541,No,Yes,No,No
470542,No,No,No,No
470543,No,No,Yes,No
470545,No,No,No,No
470547,No,No,No,No
470548,No,No,No,No
470549,No,No,No,No
470550,No,Yes,No,No
470552,No,No,No,No
470554,No,Yes,No,No
470556,No,Yes,No,No
470557,No,No,No,No
470558,No,No,No,No
470559,No,Yes,Yes,No
470560,No,Yes,Yes,No
470561,No,Yes,No,No
470562,No,No,No,No
470564,No,No,No,Yes
470565,No,No,No,No
470567,No,No,No,No
470568,No,No,No,No
470570,No,No,Yes,No
470571,Yes,Yes,Yes,No
470572,No,No,Yes,No
470573,No,No,No,No
470574,No,No,No,No
470575,No,No,No,No
470576,No,No,No,No
470577,No,No,No,No
480614,No,No,No,No
470580,Yes,Yes,Yes,No
470581,No,Yes,No,No
470582,No,No,No,No
470583,No,No,No,No
480620,No,No,No,No
470584,No,No,No,No
470585,No,No,No,No
470586,Yes,No,No,No
470587,No,Yes,Yes,No
470589,No,No,No,No
470591,No,No,No,No
470593,No,No,No,No
470595,No,No,No,No
470596,No,No,No,No
470597,No,No,No,No
470599,No,Yes,No,No
470600,No,Yes,No,No
470601,No,No,No,No
470602,No,No,No,No
470605,Yes,No,No,No
470607,No,Yes,No,No
470608,No,No,No,No
470609,No,No,No,No
470612,No,No,No,No
470613,No,No,No,No
470614,No,Yes,No,No
470615,No,No,Yes,No
470617,No,No,No,No
470618,No,No,No,No
470619,No,No,No,No
470621,No,No,No,No
470623,No,Yes,No,No
470625,No,No,No,No
470626,No,Yes,,No
470628,No,No,No,No
470629,No,Yes,No,No
470630,No,No,No,No
470631,No,No,No,No
470632,Yes,Yes,No,No
470633,No,No,No,No
470634,No,No,No,No
470636,No,No,No,No
470637,No,Yes,Yes,No
470640,Yes,Yes,No,No
470641,No,No,No,No
470643,No,No,No,No
470645,No,No,Yes,No
470646,No,No,No,No
470647,No,No,No,No
470648,No,No,No,No
470649,No,No,No,No
470650,No,No,Yes,No
470651,No,No,No,No
470652,No,No,Yes,No
470653,No,Yes,Yes,No
470654,No,No,No,No
470655,No,No,No,No
480693,Yes,Yes,No,No
470657,No,No,No,No
470659,Yes,Yes,Yes,No
470660,No,Yes,No,No
480699,Yes,No,Yes,No
470662,No,No,No,No
470663,No,Yes,No,No
470664,No,No,Yes,No
470665,No,Yes,No,No
470666,No,No,No,No
470667,No,No,No,No
470668,No,Yes,No,No
480708,No,No,No,No
470670,No,No,No,No
470671,No,No,No,No
470673,No,No,No,No
470674,No,No,No,No
470675,No,No,No,No
470676,No,No,No,No
470678,No,No,No,No
470679,No,No,No,No
470681,No,No,Yes,No
470683,No,No,No,No
470684,No,No,No,No
470685,No,No,No,No
470687,No,No,No,No
470689,No,No,No,No
470691,No,No,No,No
470692,No,No,No,No
470694,No,No,Yes,No
470695,No,No,No,No
470696,No,No,No,No
470698,No,No,No,No
470699,Yes,Yes,No,No
470700,No,No,No,No
470701,No,No,No,No
470703,No,Yes,No,No
470705,No,Yes,No,No
470706,No,No,No,No
470707,No,No,No,No
470708,No,No,No,No
470711,No,No,No,No
470712,No,No,No,No
470713,No,No,No,No
480755,No,No,Yes,No
470715,No,Yes,No,No
470718,No,No,No,No
470719,No,No,No,No
470720,No,No,No,No
470721,No,No,No,No
470722,No,No,No,No
470723,No,Yes,No,No
470724,No,Yes,No,No
470725,No,No,No,No
470726,No,No,No,No
470727,No,No,No,No
480771,No,No,No,No
470729,Yes,Yes,No,No
470730,No,No,No,No
470732,Yes,Yes,Yes,No
470736,No,No,Yes,No
470738,No,No,No,No
470739,No,No,Yes,No
470741,No,No,No,No
470742,No,Yes,No,No
470743,No,No,No,No
470744,No,No,No,No
470745,No,Yes,No,No
470746,No,No,No,No
470748,No,No,No,No
470749,No,No,Yes,No
470750,No,No,No,No
470753,No,Yes,Yes,No
470755,No,No,No,No
470756,No,No,No,No
470757,No,No,Yes,No
470758,No,No,No,No
480804,No,No,No,No
470759,No,No,No,No
470760,No,Yes,No,No
470761,No,No,No,No
470763,No,No,No,No
470764,No,No,No,No
470765,No,No,No,No
470768,Yes,Yes,Yes,No
470771,No,No,No,No
470773,No,Yes,No,No
470775,No,No,No,No
470776,No,Yes,No,No
470777,Yes,Yes,Yes,No
470778,No,No,No,No
470780,No,No,No,No
470781,No,Yes,Yes,No
470782,No,No,Yes,No
470784,No,No,No,No
470786,No,Yes,No,No
470787,No,No,No,No
470788,No,No,No,No
470790,No,No,No,No
470791,Yes,Yes,Yes,No
470792,No,No,No,No
470794,No,No,Yes,No
480841,No,No,Yes,No
470795,No,No,No,No
470796,No,No,No,No
470797,No,No,No,No
470798,No,No,No,No
470799,No,No,Yes,No
470800,No,No,No,No
470801,No,No,Yes,No
470802,Yes,Yes,Yes,No
470803,No,No,No,No
470804,No,No,No,No
470808,,,Yes,
470811,No,No,No,No
470813,No,No,No,No
470814,Yes,Yes,No,No
480863,No,No,No,No
470816,No,No,No,No
470817,No,No,No,No
470818,No,No,No,No
470819,No,No,No,No
470820,No,No,No,No
470821,No,No,Yes,No
470822,No,Yes,No,No
470823,No,No,No,No
470825,No,No,No,No
470826,No,Yes,Yes,No
470827,No,No,No,No
470828,No,No,No,No
470830,No,No,Yes,No
470832,No,Yes,Yes,No
470837,No,No,No,No
470838,No,No,No,No
470839,No,No,No,No
470840,No,No,No,No
470841,No,No,No,No
