 RespId,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q16_10
470174,No,No,No,No,No,Yes,No,No,Yes,No
470175,No,No,No,No,No,No,No,No,No,No
470177,No,No,No,No,No,No,No,No,No,No
470179,No,No,No,No,No,No,No,No,No,No
470180,No,No,No,No,No,No,No,No,No,No
470181,No,No,No,No,No,No,No,Yes,No,No
470182,No,No,No,No,No,No,No,No,No,No
470183,No,No,No,No,No,No,No,No,No,No
470184,No,No,No,No,No,No,No,No,No,No
470186,No,No,No,No,No,No,No,No,No,No
470187,No,No,No,No,No,No,No,No,No,Yes
470188,No,No,No,No,No,No,No,No,No,No
470189,No,No,No,No,No,No,No,No,No,No
470190,No,No,No,No,Yes,No,No,No,No,No
470191,No,No,No,No,No,No,No,No,No,No
470193,No,No,No,No,No,No,No,Yes,No,No
470196,No,No,No,No,No,No,No,No,No,No
470198,No,No,No,No,No,No,No,Yes,No,No
470200,No,No,No,No,No,No,No,No,No,No
470201,No,No,No,No,No,No,No,No,No,No
470205,No,No,No,No,No,No,No,No,No,No
470206,No,No,No,No,No,No,No,No,No,No
470207,Yes,No,No,No,No,Yes,No,No,No,No
470208,No,No,No,No,No,No,No,No,No,No
480222,No,No,No,No,No,No,No,No,No,No
470212,No,No,No,No,No,No,No,No,No,No
470213,No,No,No,No,No,No,No,Yes,No,No
470214,No,No,No,No,No,No,No,No,No,No
470215,No,No,No,No,No,No,No,Yes,No,No
480230,No,No,No,No,No,No,No,No,No,No
470216,No,No,No,No,No,No,No,No,No,No
470217,No,No,No,No,No,No,No,No,No,No
470218,No,No,No,No,No,No,No,No,No,No
470219,No,No,No,No,No,No,No,No,No,No
470220,No,No,Yes,No,No,No,No,Yes,No,No
470222,No,No,Yes,Yes,No,No,No,No,No,No
470225,No,No,No,No,No,No,No,No,No,No
470228,No,No,No,No,No,No,Yes,No,No,No
470229,No,No,No,No,No,No,No,No,No,No
470230,No,No,No,No,No,No,No,No,No,No
470232,No,No,No,No,No,No,No,No,No,No
470233,No,No,No,No,No,No,No,No,No,No
470235,No,No,No,No,No,No,No,No,No,No
470237,No,No,No,No,No,No,No,No,No,No
470238,No,No,No,No,No,No,No,No,No,No
470239,No,No,No,No,No,No,No,Yes,No,No
470241,No,No,No,No,No,No,No,No,No,No
470242,No,No,No,No,No,No,No,No,No,No
470243,No,No,No,No,No,No,No,No,No,No
470246,No,No,No,No,No,No,No,No,No,No
470247,No,No,No,No,No,No,No,No,No,No
470248,No,No,No,No,No,No,No,No,No,No
470250,No,No,No,No,No,No,No,No,No,Yes
470251,No,No,No,No,No,No,No,No,No,No
470255,No,No,No,No,No,No,No,No,No,No
480273,No,No,No,No,No,No,No,No,No,No
470256,No,No,No,No,No,No,No,No,No,No
470257,No,No,No,No,No,No,Yes,Yes,No,No
470259,No,No,No,No,No,No,No,No,No,No
470260,No,No,No,No,No,No,No,No,No,No
470262,No,No,No,No,No,No,No,No,No,No
470266,No,No,No,No,No,No,No,No,No,No
470267,No,No,No,No,No,No,No,No,No,No
470268,No,No,No,No,No,Yes,No,No,Yes,No
470270,No,No,No,No,No,No,No,Yes,No,No
470271,No,No,No,No,No,No,No,No,No,No
470272,No,No,No,No,No,No,No,No,No,No
470273,No,No,No,No,No,No,No,Yes,No,No
480292,No,No,No,No,No,No,No,Yes,No,No
470274,No,No,No,No,No,No,No,No,No,No
470275,No,No,No,No,No,No,No,No,No,No
470276,No,No,No,No,No,No,No,Yes,No,No
480296,No,No,No,No,No,No,No,Yes,No,No
470277,No,No,No,No,No,No,No,No,No,No
470278,No,No,No,No,No,No,No,Yes,No,No
470279,No,No,No,No,No,No,No,No,No,No
470282,No,No,No,No,No,No,No,No,No,No
470283,No,No,No,No,No,No,Yes,Yes,No,No
480304,No,No,No,No,No,No,No,No,No,No
470284,No,No,No,Yes,No,No,No,No,No,No
470285,No,No,No,No,No,No,No,No,No,No
470286,No,No,No,No,No,No,No,No,No,No
470289,No,No,No,No,No,No,No,Yes,No,No
470290,No,No,No,No,No,No,No,No,No,No
470291,No,No,No,No,No,No,No,No,No,No
470292,No,Yes,Yes,No,No,No,Yes,Yes,No,No
470293,No,No,No,No,No,No,No,No,No,No
470294,No,No,No,No,No,No,No,No,No,No
470301,No,No,No,No,No,No,No,No,No,No
470305,No,No,No,No,No,No,No,No,No,No
470309,No,No,No,No,No,No,No,No,No,No
470310,No,No,No,No,No,No,No,No,No,No
470311,No,No,No,No,No,No,Yes,No,No,No
470312,No,No,No,No,No,No,No,No,No,No
470313,No,No,No,No,No,No,No,No,No,No
470314,No,No,No,No,No,No,No,No,No,No
480336,No,No,No,No,No,No,No,No,No,No
480339,No,No,No,No,No,No,No,No,No,No
470317,No,No,No,No,No,No,No,No,No,No
470319,No,No,No,No,No,No,No,No,No,No
470320,No,No,No,No,No,No,No,No,No,No
470321,No,No,No,No,,No,No,No,No,Yes
470322,No,No,No,No,No,No,No,No,No,No
470323,No,No,No,No,No,No,No,No,No,No
470326,No,No,No,No,No,No,No,Yes,No,Yes
470329,No,No,No,No,No,No,No,No,No,No
470330,No,No,No,No,No,No,No,No,No,No
470331,No,No,No,No,No,No,No,Yes,No,No
470332,No,No,No,No,No,No,No,No,No,No
470333,No,No,No,No,No,No,No,No,No,No
470334,No,No,Yes,No,Yes,No,Yes,No,No,Yes
470338,No,No,No,No,No,No,No,No,No,No
470340,No,No,No,No,No,No,No,No,No,No
470341,Yes,No,No,No,No,No,No,No,No,No
470343,No,No,No,No,No,No,No,No,No,Yes
470344,No,No,No,No,No,No,No,No,No,No
470345,No,No,No,No,No,No,No,Yes,No,No
470348,No,No,No,No,No,No,No,No,No,No
470349,No,No,No,No,No,No,No,No,No,No
470350,No,No,No,No,No,No,No,No,No,No
470351,No,No,No,No,No,No,No,No,No,No
470352,No,No,No,No,No,No,No,Yes,No,No
470353,No,No,No,No,No,No,No,No,No,No
470354,No,Yes,No,No,No,No,Yes,No,No,No
470355,No,No,No,No,No,No,No,No,Yes,No
470356,No,No,No,No,No,No,No,No,No,No
470358,No,No,No,No,No,No,No,No,No,No
480385,No,No,No,No,No,No,Yes,No,No,No
470359,No,No,No,No,No,No,No,No,No,No
470361,No,Yes,No,No,No,No,No,Yes,No,No
470362,No,No,No,No,No,No,No,No,No,No
470363,No,No,No,No,No,No,No,No,No,No
470364,No,No,No,No,No,No,No,No,No,No
470365,No,Yes,No,No,No,No,Yes,Yes,No,No
470366,No,No,No,No,No,No,No,Yes,No,No
470367,No,No,No,No,No,No,No,Yes,No,No
470370,No,No,No,No,No,No,No,No,No,No
470371,No,No,No,No,No,No,No,No,No,No
470372,No,No,No,No,No,No,No,No,No,No
470373,No,No,No,No,No,No,No,No,No,No
470374,No,No,No,No,No,No,No,No,No,No
470375,No,No,No,No,No,No,No,No,No,No
470376,No,No,No,No,No,No,No,No,No,No
470377,No,No,No,No,No,No,No,Yes,No,No
470379,,,,,,,,,,
470382,No,No,No,No,No,No,No,No,No,No
470383,No,No,No,No,No,No,No,No,No,No
470384,No,No,No,No,No,No,No,No,No,No
470385,No,No,No,No,No,No,No,No,No,No
470387,No,No,No,No,No,No,No,No,No,Yes
470389,No,No,No,No,No,No,No,No,No,No
470391,No,No,No,No,No,No,No,No,No,No
470392,No,No,No,Yes,No,No,No,,Yes,
470393,No,No,No,No,No,No,No,No,No,No
470394,No,No,No,No,No,No,No,No,No,No
470395,No,No,No,No,No,No,No,Yes,No,Yes
470396,No,No,No,No,No,No,No,No,No,No
470397,No,No,No,No,No,No,No,No,No,No
470399,No,No,No,No,No,No,No,No,No,No
470403,No,No,No,No,No,Yes,No,Yes,No,No
480432,No,No,No,No,No,No,No,Yes,Yes,No
470405,No,No,No,No,No,No,No,No,No,No
470407,No,No,No,No,No,No,No,No,No,No
470408,No,No,No,No,No,No,No,No,No,No
470409,No,No,No,No,No,No,No,No,No,No
470411,No,No,No,No,No,No,No,No,No,No
470412,No,No,No,No,No,No,No,No,No,No
470414,No,No,No,No,No,No,No,No,No,No
470415,No,No,No,No,No,No,No,No,No,No
470416,No,No,No,No,No,No,No,No,No,No
470417,No,No,No,No,No,No,Yes,No,No,No
470419,No,No,No,No,No,No,No,No,No,No
470420,No,No,No,No,No,No,No,No,No,No
470421,No,No,No,No,No,No,No,No,No,No
470422,No,Yes,No,No,No,No,No,No,No,No
470423,No,No,No,No,No,No,No,No,No,No
470424,No,No,No,No,No,No,No,No,No,No
470425,No,No,No,Yes,No,No,No,Yes,No,Yes
480454,No,No,No,No,No,No,No,Yes,No,No
470426,No,No,Yes,Yes,No,No,No,Yes,No,No
470427,No,No,No,No,No,No,No,No,No,No
470428,No,No,No,No,No,No,No,No,No,No
470429,No,No,No,No,No,No,No,No,No,No
470430,No,No,No,No,No,No,No,No,No,No
470431,No,No,No,No,No,No,No,No,No,Yes
470433,No,No,No,No,No,No,No,No,No,No
470434,No,No,No,Yes,No,No,No,No,No,No
470436,No,No,No,No,No,No,No,No,No,No
470437,No,No,No,No,No,No,No,Yes,No,No
470439,No,No,No,No,No,No,No,No,No,No
470440,,,,,,,,,,
470442,No,No,No,No,No,No,No,No,No,No
470444,No,No,No,No,No,No,No,No,No,No
470445,No,No,No,No,No,No,No,No,No,No
470446,No,No,No,No,No,No,No,No,No,No
470448,No,No,No,No,No,No,No,No,No,No
480478,No,No,Yes,Yes,No,Yes,No,Yes,No,No
470449,No,No,No,No,No,No,No,Yes,No,No
470450,No,No,No,No,No,No,No,No,No,No
470451,No,No,No,No,No,No,No,No,No,No
470452,No,No,No,No,No,No,No,Yes,No,No
470455,No,No,No,No,No,No,No,No,No,No
470457,No,No,No,No,No,No,No,Yes,No,No
470458,No,No,No,No,No,No,No,No,No,No
470459,No,No,No,No,No,No,No,No,No,No
470460,No,No,No,No,No,No,No,No,No,No
480491,No,No,No,No,No,No,No,No,No,No
470461,No,No,No,No,No,No,No,No,No,No
470466,No,No,No,No,No,No,No,No,No,No
470468,No,No,No,No,No,No,No,Yes,No,No
470469,No,No,No,No,No,No,No,No,No,No
470470,No,No,No,No,Yes,Yes,No,Yes,Yes,No
470471,Yes,No,No,No,No,No,No,Yes,Yes,Yes
470472,No,No,No,No,No,No,No,No,No,No
470474,No,No,No,No,No,No,No,No,No,No
470476,No,No,No,No,No,No,No,No,No,No
470477,No,No,No,No,No,No,No,No,No,No
470478,No,Yes,No,No,No,No,No,Yes,No,No
470480,No,No,No,No,No,No,No,No,No,No
470481,No,No,No,No,No,No,No,No,No,No
470482,No,No,No,No,No,No,No,No,No,No
470483,No,No,No,No,No,Yes,No,,No,No
470484,No,No,No,No,No,No,No,Yes,No,No
470485,No,No,No,No,No,No,No,No,No,No
470487,No,No,No,No,No,No,No,No,No,No
470488,No,No,No,Yes,No,No,Yes,No,No,No
480520,No,No,No,No,No,No,No,No,No,No
470489,No,No,No,No,No,No,No,No,No,No
470490,No,No,No,No,No,No,No,No,No,No
470491,No,No,No,No,No,No,No,No,No,No
470492,No,No,No,No,No,No,No,No,No,No
470495,No,No,No,No,No,No,No,No,No,No
470496,No,No,No,No,No,No,No,No,No,No
470497,No,No,No,No,No,No,No,No,No,No
470498,No,No,No,No,No,No,No,No,No,No
470499,No,No,No,No,No,No,No,No,No,No
480532,No,No,No,No,No,No,No,No,No,No
470501,No,No,No,No,No,No,Yes,No,No,Yes
470502,No,No,No,No,No,No,No,No,No,No
470503,No,Yes,No,No,No,No,No,No,No,No
470504,No,No,No,No,No,No,No,No,No,No
470505,No,No,No,No,No,No,No,No,No,No
470506,No,No,No,No,No,No,No,No,No,No
480540,No,No,No,No,No,No,No,No,No,No
470507,No,No,No,No,No,No,No,Yes,No,Yes
470508,No,No,No,No,No,No,No,No,No,No
470513,No,No,No,No,No,No,Yes,No,No,No
470514,No,No,No,No,No,No,No,No,No,No
470515,No,No,No,No,No,No,No,Yes,No,No
470517,No,No,No,No,No,No,No,Yes,No,No
470518,No,No,No,No,No,No,No,No,No,Yes
470519,No,No,No,Yes,No,No,No,No,No,No
470520,No,No,No,No,No,No,No,No,No,No
470521,No,No,No,No,No,No,No,No,No,No
470523,No,No,No,No,No,No,No,No,No,No
470524,No,No,No,No,No,No,No,No,No,No
470525,No,No,No,No,No,No,No,No,No,No
470526,No,No,No,No,No,No,No,No,No,No
470527,No,No,No,No,No,No,No,No,No,No
470528,No,No,No,No,No,No,No,No,No,No
470529,No,No,No,No,No,No,No,No,No,No
470530,No,No,No,No,No,No,No,No,No,No
